Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),coordinates
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,347,"44.6471, 10.9252"
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,350,"44.6471, 10.9252"
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.5,10.7,14.5,19,334,"44.6471, 10.9252"
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3.0,6,AS8,Z,15.7,9.7,13.0,22,299,"44.6471, 10.9252"
MAZDA,CX-5,SUV - SMALL,2.0,4,AS6,X,8.9,7.3,8.2,34,189,"34.3963, 132.4594"
MAZDA,CX-5,SUV - SMALL,2.0,4,M6,X,9.0,6.8,8.0,35,184,"34.3963, 132.4594"
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.6,7.4,8.6,33,198,"34.3963, 132.4594"
MAZDA,CX-5 4WD,SUV - SMALL,2.0,4,AS6,X,9.3,7.6,8.5,33,196,"34.3963, 132.4594"
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,9.9,7.9,9.0,31,207,"34.3963, 132.4594"
MAZDA,CX-9,SUV - SMALL,3.7,6,AS6,X,14.2,10.0,12.3,23,283,"34.3963, 132.4594"
MAZDA,CX-9 4WD,SUV - SMALL,3.7,6,AS6,X,14.3,10.6,12.7,22,292,"34.3963, 132.4594"
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,7.9,5.7,6.9,41,159,"34.3963, 132.4594"
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4,M6,X,8.0,5.8,7.0,40,161,"34.3963, 132.4594"
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38,170,"34.3963, 132.4594"
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.2,5.9,7.2,39,166,"34.3963, 132.4594"
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.4,8.0,35,184,"34.3963, 132.4594"
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.0,4,AS6,X,8.0,5.9,7.0,40,161,"34.3963, 132.4594"
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4,M6,X,8.2,5.9,7.1,40,163,"34.3963, 132.4594"
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,8.7,6.5,7.7,37,177,"34.3963, 132.4594"
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.2,6.0,7.2,39,166,"34.3963, 132.4594"
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,186,"34.3963, 132.4594"
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.7,8.2,9.6,29,221,"34.3963, 132.4594"
MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,225,"34.3963, 132.4594"
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,8.8,6.1,7.6,37,175,"34.3963, 132.4594"
MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,186,"34.3963, 132.4594"
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.4,5.9,7.3,39,168,"34.3963, 132.4594"
MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,11.5,8.5,10.1,28,232,"34.3963, 132.4594"
MAZDA,MX-5,TWO-SEATER,2.0,4,M5,Z,10.5,8.5,9.6,29,221,"34.3963, 132.4594"
MAZDA,MX-5,TWO-SEATER,2.0,4,M6,Z,11.1,8.4,9.9,29,228,"34.3963, 132.4594"
MERCEDES-BENZ,B 250,STATION WAGON - SMALL,2.0,4,AS7,Z,9.2,6.6,8.0,35,184,"48.7758, 9.1829"
MERCEDES-BENZ,B 250 4MATIC,STATION WAGON - SMALL,2.0,4,AS7,Z,10.0,7.5,8.9,32,205,"48.7758, 9.1829"
MERCEDES-BENZ,C 250 COUPE,SUBCOMPACT,1.8,4,AS7,Z,10.9,7.5,9.4,30,216,"48.7758, 9.1829"
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4,AS7,Z,10.1,7.8,9.0,31,207,"48.7758, 9.1829"
MERCEDES-BENZ,C 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.7,10.6,27,244,"48.7758, 9.1829"
MERCEDES-BENZ,C 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5,27,242,"48.7758, 9.1829"
MERCEDES-BENZ,C 400 4MATIC,COMPACT,3.0,6,AS7,Z,11.1,8.4,9.9,29,228,"48.7758, 9.1829"
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8,AS7,Z,17.9,12.3,15.4,18,354,"48.7758, 9.1829"
MERCEDES-BENZ,CLA 250,SUBCOMPACT,2.0,4,AS7,Z,9.4,6.4,8.1,35,186,"48.7758, 9.1829"
MERCEDES-BENZ,CLA 250 4MATIC,SUBCOMPACT,2.0,4,AS7,Z,9.9,7.4,8.8,32,202,"48.7758, 9.1829"
MERCEDES-BENZ,CLA 45 AMG,COMPACT,2.0,4,AS7,Z,10.2,7.7,9.1,31,209,"48.7758, 9.1829"
MERCEDES-BENZ,CLS 400 4MATIC,COMPACT,3.0,6,AS7,Z,12.1,8.5,10.5,27,242,"48.7758, 9.1829"
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,14.5,10.1,12.5,23,288,"48.7758, 9.1829"
MERCEDES-BENZ,CLS 63 AMG 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.8,13.1,22,301,"48.7758, 9.1829"
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4,AS7,D,8.6,5.9,7.4,38,200,"48.7758, 9.1829"
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.9,8.2,10.2,28,235,"48.7758, 9.1829"
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3.0,6,AS7,Z,12.0,8.5,10.4,27,239,"48.7758, 9.1829"
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.5,6,AS7,Z,12.4,8.8,10.8,26,248,"48.7758, 9.1829"
MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3.5,6,AS7,Z,11.5,8.1,10.0,28,230,"48.7758, 9.1829"
MERCEDES-BENZ,E 400 COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.8,8.3,10.2,28,235,"48.7758, 9.1829"
MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8,AS7,Z,12.9,9.6,11.4,25,262,"48.7758, 9.1829"
MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7,24,269,"48.7758, 9.1829"
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,AS7,Z,13.3,8.9,11.4,25,262,"48.7758, 9.1829"
MERCEDES-BENZ,E 63 AMG S 4MATIC,MID-SIZE,5.5,8,AS7,Z,15.3,10.8,13.3,21,306,"48.7758, 9.1829"
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11.0,13.3,21,306,"48.7758, 9.1829"
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,19.9,16.1,18.2,16,419,"48.7758, 9.1829"
MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,426,"48.7758, 9.1829"
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6,AS7,D,13.6,10.0,12.0,24,324,"48.7758, 9.1829"
MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,3.0,6,AS7,Z,15.2,12.6,14.0,20,322,"48.7758, 9.1829"
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.5,13.2,15.6,18,359,"48.7758, 9.1829"
MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,375,"48.7758, 9.1829"
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Z,9.8,7.4,8.7,32,200,"48.7758, 9.1829"
MERCEDES-BENZ,GLA 45 AMG 4MATIC,STATION WAGON - MID-SIZE,2.0,4,AS7,Z,10.5,8.1,9.4,30,216,"48.7758, 9.1829"
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4,AS7,D,9.6,7.0,8.5,33,230,"48.7758, 9.1829"
MERCEDES-BENZ,GLK 350 4MATIC,SUV - SMALL,3.5,6,AS7,Z,12.6,9.6,11.2,25,258,"48.7758, 9.1829"
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6,AS7,D,11.8,8.5,10.3,27,278,"48.7758, 9.1829"
MERCEDES-BENZ,ML 400 4MATIC,SUV - STANDARD,3.0,6,AS7,Z,13.3,10.4,12.0,24,276,"48.7758, 9.1829"
MERCEDES-BENZ,ML 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,16.3,11.8,14.2,20,327,"48.7758, 9.1829"
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6,18,359,"48.7758, 9.1829"
MERCEDES-BENZ,S 400 4MATIC,MID-SIZE,4.7,6,AS7,Z,12.6,8.6,10.8,26,248,"48.7758, 9.1829"
MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8,AS7,Z,14.4,9.8,12.3,23,283,"48.7758, 9.1829"
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,AS7,Z,14.8,9.8,12.5,23,288,"48.7758, 9.1829"
MERCEDES-BENZ,S 550 4MATIC SWB,MID-SIZE,4.7,8,AS7,Z,14.7,9.1,12.2,23,281,"48.7758, 9.1829"
MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12,AS7,Z,18.1,11.0,14.9,19,343,"48.7758, 9.1829"
MERCEDES-BENZ,S 63 AMG 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21,304,"48.7758, 9.1829"
MERCEDES-BENZ,S 63 AMG COUPE,COMPACT,5.5,8,AS7,Z,15.7,10.1,13.2,21,304,"48.7758, 9.1829"
MERCEDES-BENZ,S 65 AMG,FULL-SIZE,6.0,12,AS7,Z,18.5,11.8,15.5,18,357,"48.7758, 9.1829"
MERCEDES-BENZ,S 65 AMG COUPE,COMPACT,6.0,12,AS7,Z,18.0,11.3,15.0,19,345,"48.7758, 9.1829"
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,13.8,9.5,11.9,24,274,"48.7758, 9.1829"
MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,285,"48.7758, 9.1829"
MERCEDES-BENZ,SL 65 AMG,TWO-SEATER,6.0,12,AS7,Z,16.7,11.2,14.2,20,327,"48.7758, 9.1829"
MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,AS7,Z,10.4,7.2,9.0,31,207,"48.7758, 9.1829"
MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,M6,Z,10.4,7.2,9.0,31,207,"48.7758, 9.1829"
MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8,29,225,"48.7758, 9.1829"
MERCEDES-BENZ,SLK 55 AMG,TWO-SEATER,5.5,8,AS7,Z,12.4,8.5,10.6,27,244,"48.7758, 9.1829"
MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359,"48.7758, 9.1829"
MERCEDES-BENZ,SLS AMG GT ROADSTER,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359,"48.7758, 9.1829"
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172,"51.7520, -1.2577"
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.1,5.9,7.1,40,163,"51.7520, -1.2577"
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172,"51.7520, -1.2577"
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.2,5.9,7.2,39,166,"51.7520, -1.2577"
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,8.6,6.5,7.7,37,177,"51.7520, -1.2577"
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172,"51.7520, -1.2577"
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7,32,200,"51.7520, -1.2577"
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172,"51.7520, -1.2577"
MINI,COOPER COUPE,TWO-SEATER,1.6,4,AS6,Z,8.5,6.5,7.6,37,175,"51.7520, -1.2577"
MINI,COOPER COUPE,TWO-SEATER,1.6,4,M6,Z,8.0,6.4,7.3,39,168,"51.7520, -1.2577"
MINI,COOPER PACEMAN,COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7,32,200,"51.7520, -1.2577"
MINI,COOPER PACEMAN,COMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172,"51.7520, -1.2577"
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,AS6,Z,8.6,6.5,7.7,37,177,"51.7520, -1.2577"
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,M6,Z,8.4,6.4,7.5,38,172,"51.7520, -1.2577"
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,189,"51.7520, -1.2577"
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4,M6,Z,10.0,7.0,8.6,33,198,"51.7520, -1.2577"
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,189,"51.7520, -1.2577"
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,M6,Z,10.0,7.0,8.6,33,198,"51.7520, -1.2577"
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207,"51.7520, -1.2577"
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200,"51.7520, -1.2577"
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207,"51.7520, -1.2577"
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200,"51.7520, -1.2577"
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4,AS6,Z,9.3,7.3,8.4,34,193,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4,M6,Z,10.4,7.7,9.2,31,212,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7,32,200,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1,35,186,"51.7520, -1.2577"
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186,"51.7520, -1.2577"
MITSUBISHI,LANCER,COMPACT,2.0,4,AV6,X,9.2,6.9,8.2,34,189,"35.6895, 139.6917"
MITSUBISHI,LANCER,COMPACT,2.0,4,M5,X,9.6,6.9,8.4,34,193,"35.6895, 139.6917"
MITSUBISHI,LANCER AWD,COMPACT,2.4,4,AV6,X,10.5,8.2,9.5,30,219,"35.6895, 139.6917"
MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,AM6,Z,14.2,10.5,12.5,23,288,"35.6895, 139.6917"
MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,M5,Z,14.0,10.3,12.3,23,283,"35.6895, 139.6917"
MITSUBISHI,LANCER RALLIART,COMPACT,2.0,4,AM6,Z,13.4,9.4,11.6,24,267,"35.6895, 139.6917"
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4,AV6,X,9.6,7.3,8.6,33,198,"35.6895, 139.6917"
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4,M5,X,9.8,7.1,8.6,33,198,"35.6895, 139.6917"
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.3,5.9,48,136,"35.6895, 139.6917"
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M5,X,7.0,5.5,6.4,44,147,"35.6895, 139.6917"
MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4,AV6,X,9.5,7.5,8.6,33,198,"35.6895, 139.6917"
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1,31,209,"35.6895, 139.6917"
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3.0,6,AS6,Z,11.5,8.4,10.1,28,232,"35.6895, 139.6917"
MITSUBISHI,RVR,SUV - SMALL,2.0,4,AV6,X,9.3,7.3,8.4,34,193,"35.6895, 139.6917"
MITSUBISHI,RVR,SUV - SMALL,2.0,4,M5,X,9.9,7.6,8.8,32,202,"35.6895, 139.6917"
MITSUBISHI,RVR 4WD,SUV - SMALL,2.0,4,AV6,X,9.6,7.7,8.8,32,202,"35.6895, 139.6917"
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,AV6,X,10.4,8.5,9.6,29,221,"35.6895, 139.6917"
NISSAN,370Z COUPE,TWO-SEATER,3.7,6,AS7,Z,12.6,9.2,11.1,25,255,"35.4437, 139.6380"
NISSAN,370Z COUPE,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264,"35.4437, 139.6380"
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Z,13.0,9.6,11.5,25,264,"35.4437, 139.6380"
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,271,"35.4437, 139.6380"
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.2,7.6,37,175,"35.4437, 139.6380"
NISSAN,ALTIMA,MID-SIZE,3.5,6,AV,X,10.3,7.4,9.0,31,207,"35.4437, 139.6380"
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,A5,X,19.2,13.4,16.6,17,382,"35.4437, 139.6380"
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,X,13.7,10.6,12.3,23,283,"35.4437, 139.6380"
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.2,11.3,25,260,"35.4437, 139.6380"
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.8,10.3,12.7,22,292,"35.4437, 139.6380"
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,15.7,11.3,13.7,21,315,"35.4437, 139.6380"
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.0,11.2,13.3,21,306,"35.4437, 139.6380"
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.3,10.5,12.6,22,290,"35.4437, 139.6380"
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,AV7,X,8.5,7.2,7.9,36,182,"35.4437, 139.6380"
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,M6,X,8.4,6.9,7.7,37,177,"35.4437, 139.6380"
NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV7,X,8.8,7.5,8.2,34,189,"35.4437, 139.6380"
NISSAN,JUKE NISMO RS,STATION WAGON - SMALL,1.6,4,M6,Z,8.9,7.5,8.3,34,191,"35.4437, 139.6380"
NISSAN,JUKE NISMO RS AWD,STATION WAGON - SMALL,1.6,4,AV8,Z,9.4,8.1,8.8,32,202,"35.4437, 139.6380"
NISSAN,MICRA,COMPACT,1.6,4,A4,X,8.8,6.6,7.8,36,179,"35.4437, 139.6380"
NISSAN,MICRA,COMPACT,1.6,4,M5,X,8.6,6.6,7.7,37,177,"35.4437, 139.6380"
NISSAN,MURANO,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.0,8.2,9.8,29,225,"35.4437, 139.6380"
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.2,8.3,9.9,29,228,"35.4437, 139.6380"
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.7,9.0,9.4,30,216,"35.4437, 139.6380"
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,11.9,8.6,10.4,27,239,"35.4437, 139.6380"
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,12.1,8.9,10.7,26,246,"35.4437, 139.6380"
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,AV,X,12.7,9.0,11.0,26,253,"35.4437, 139.6380"
NISSAN,PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,AV,X,9.1,8.5,8.8,32,202,"35.4437, 139.6380"
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12.0,8.7,10.5,27,242,"35.4437, 139.6380"
NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,9.2,7.2,8.3,34,191,"35.4437, 139.6380"
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.5,7.4,8.5,33,196,"35.4437, 139.6380"
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,18.4,13.3,16.1,18,370,"35.4437, 139.6380"
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.2,16,396,"35.4437, 139.6380"
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,8.0,6.1,7.2,39,166,"35.4437, 139.6380"
NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,8.9,6.6,7.9,36,182,"35.4437, 139.6380"
NISSAN,VERSA,COMPACT,1.6,4,AV,X,7.5,6.0,6.8,42,156,"35.4437, 139.6380"
NISSAN,VERSA,COMPACT,1.6,4,M5,X,8.6,6.5,7.7,37,177,"35.4437, 139.6380"
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,A5,X,16.0,12.0,14.2,20,327,"35.4437, 139.6380"
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,M6,X,16.0,12.3,14.4,20,331,"35.4437, 139.6380"
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,AM7,Z,11.6,8.4,10.1,28,232,"48.83583, 9.15250"
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M7,Z,12.3,8.6,10.6,27,244,"48.83583, 9.15250"
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,11.5,8.3,10.1,28,232,"48.83583, 9.15250"
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,246,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,AM7,Z,11.6,8.5,10.2,28,235,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,246,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,11.9,8.7,10.5,27,242,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.5,9.0,10.9,26,251,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6,AM7,Z,12.6,9.2,11.1,25,255,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6,M7,Z,13.0,9.2,11.3,25,260,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,13.1,9.4,11.4,25,262,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,M7,Z,13.4,9.3,11.6,24,267,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,AM7,Z,12.2,8.9,10.7,26,246,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,M7,Z,12.6,8.9,11.0,26,253,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.5,9.0,11.0,26,253,"48.83583, 9.15250"
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,12.9,9.2,11.2,25,258,"48.83583, 9.15250"
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,AM7,Z,12.6,9.0,11.0,26,253,"48.83583, 9.15250"
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,M7,Z,12.9,9.0,11.2,25,258,"48.83583, 9.15250"
